date,time,reporter_role,assigned_department,urgency,incident_description
2025-01-08,03:10 PM,Radiology Technologist,Reception,Medium,Two outpatients arrived at X-ray with eChannelling references but had not completed registration at reception. Please register and issue OPD cards before sending patients to Radiology.
2025-01-08,03:20 PM,Paediatrics Registrar,Housekeeping Department,Medium,Short spell of rain brought mud into Paediatric corridor from the garden side; floors sticky in patches—please deep mop and clean skirting.
2025-01-08,03:20 PM,ETU Medical Officer,Security,High,"Short rain caused crowd to shelter at ambulance bay, blocking arrival path; request immediate security clearing and traffic control."
2025-01-08,03:25 PM,Radiology Charge Nurse,Quality Assurance department,High,Short afternoon rain revealed minor ceiling seep near Radiology waiting area; droplets fell close to an electrical socket. Please initiate QA safety investigation and preventive maintenance follow-up.
2025-01-08,03:30 PM,Pharmacist In Charge - OPD Pharmacy,Facility Management,High,Short shower caused skylight leak over dispensing counter; floor wet near shelving. Need sealant and check for cracked pane.
2025-01-08,03:40 PM,Security Supervisor,Transport,Medium,Short rain made main ramp to CT slippery; request transport to reroute and assist wheelchair moves via Ward 2 corridor until dry.
2025-01-08,04:10 PM,Stores Keeper,Finance and Account,Medium,"Oxygen cylinder invoice includes new transport surcharge from today; PO not updated, GRN mismatch blocking payment. Request AP to raise debit note/PO amendment."
2025-01-08,04:20 PM,ETU Nursing Officer,Human Resources,Medium,Short rain delayed BLS recert attendees; HR list marked five as absent. Please grant waiver and schedule a makeup session.
2025-01-08,04:50 AM,Kitchen Manager,Dietary and Food Services,High,"Raw chicken tray stored above cut veg, drip risk noted. Quarantine affected veg and sanitize racks."
2025-01-08,04:58 PM,Consultant Surgeon,IT,High,OT scheduling module shows a duplicate slot for Theatre 2 at 5 pm after rescheduling; risk of double-booking.
2025-01-08,05:30 PM,Stores Officer,Supply Department,Medium,Afternoon shower splashed into loading bay; two glove cartons soaked. Raise damage-in-transit claim and arrange immediate replacements.
2025-01-08,05:55 PM,Radiology Administrative Officer,Biomedical Engineering,Medium,"DR panel dock shows moisture warning; small roof drip noted near charging bay after short rain. Request drying, inspection, and safety test."
2025-01-08,07:25 AM,Ward Sister - ENT,Dietary and Food Services,High,Patient on NBM except meds still received full breakfast (string hoppers + kiri hodi). Please pull back ENT trays and recheck the morning diet list printout.
2025-01-08,09:35 AM,Pharmacy Intern - OPD,Housekeeping Department,High,Glass bottle of syrup shattered near OPD pharmacy counter; need safe glass removal and disinfection of the sticky spill.
2025-01-08,10:30 AM,Stores Officer,Security,High,"Unknown male with backpack accessed CSSD corridor without pass; need security to intercept and verify ID, and secure the door."
2025-01-08,12:10 PM,Blood Bank Officer,Transport,Critical,"Emergency O negative and FFP to Theatre for ruptured ectopic; send cooler, documentation book, and escort now."
2025-01-09,05:10 PM,"Matron, Female Surgical",Human Resources,High,Junior nurse reports repeated inappropriate comments by ward clerk. Request HR to initiate formal grievance and assign mediator.
2025-01-09,06:50 AM,Staff Nurse - Ward 3 (Surgical),Facility Management,Critical,Oxygen outlet at Bed 12 hissing and loose; flowmeter wobbles. Shut valve for now—urgent pipeline check needed.
2025-01-09,10:05 AM,Laboratory Manager,Human Resources,High,Background check for new MLT shows NIC mismatch with submitted transcripts. Hold badge until HR verifies credentials.
2025-01-10,01:05 PM,NICU Nurse,Facility Management,High,NICU RH above 65%; AHU-1 filters likely choked and incubators fogging. Please service AHU and verify humidistat.
2025-01-10,01:05 PM,Laboratory Manager,Finance and Account,Medium,TPA MedNet Lanka rejected three claims citing ICD-10 code mismatch and missing consultant signature. Finance Claims Team please correct and resubmit.
2025-01-10,01:18 PM,MICU SHO,Biomedical Engineering,High,Ventilator shows flow sensor fault after filter change; please troubleshoot and recalibrate to resume ventilation.
2025-01-10,02:15 PM,Consultant Nephrologist,Dietary and Food Services,High,Nepro vanilla is out of stock; three HD patients require evening feeds. Arrange alternative renal formula and update procurement ETA today.
2025-01-10,06:20 PM,Ward Clerk - Maternity,Reception,Medium,Evening visitor crowd exceeded the two-person rule; several passes were not issued at the desk. Request reception to enforce the pass system and guide overflow to the waiting area.
2025-01-10,06:55 AM,SHO - Nephrology,Transport,High,Patient for first dialysis at 07:30; no functional wheelchair on Ward 7B. Need immediate transfer to Renal Unit.
2025-01-10,09:05 AM,Dialysis Unit In-Charge,Biomedical Engineering,Medium,New dialysis machine delivered; needs commissioning with electrical safety test and RO water interface verification before first patient.
2025-01-10,09:40 AM,Medical Records Officer,Quality Assurance department,High,Internal check found several BHTs missing the second identifier label (NIC/hospital ID). Breach of MoH patient identification policy. Needs QA compliance action across wards.
2025-01-10,10:05 AM,Ward Nurse - Medical,Housekeeping Department,High,Sharps box near Bed 12 at fill line and no spare in store; please provide replacement and arrange prompt collection of sealed container.
2025-01-10,10:25 AM,Consultant - ICU,Supply Department,Critical,Sterile water 500 ml nearing zero due to weekend surge; buffer miscalculated. Need emergency pull from OT sub-store and urgent PO release.
2025-01-10,11:05 AM,Neonatal Unit Registrar,Security,High,Visitor filming through NICU viewing window despite signage; security required to stop recording and check visitor pass.
2025-01-10,11:14 AM,Billing Supervisor,IT,High,Card payment gateway in HIS is timing out; receipts remain pending while tokens settle later; please check firewall and callbacks.
2025-01-10,11:30 AM,"Staff Nurse, Gynae Ward",Human Resources,Medium,Returned from maternity leave; no breastfeeding break schedule issued. Need HR to formalize timing per policy.
2025-01-11,06:50 AM,Matron - Surgical Complex,Housekeeping Department,High,Persistent foul odour from surgical ward sluice room; request deep clean including drain trap and wall tiles before OT list starts.
2025-01-11,09:02 AM,HR Officer,IT,Medium,Unable to assign the standard MO role during onboarding; the role template is missing after the last HIS update.
2025-01-11,09:55 AM,Porter (Block A),Facility Management,Medium,Staff lift No.2 intermittently stops with doors half open at Level 1; occurred three times this morning. Needs immediate inspection.
2025-01-11,11:35 AM,Receiving Officer - Dairy,Dietary and Food Services,Medium,Morning milk delivery recorded at 12°C due to sunny offload delay. Please decide on rejection or rapid chill with documented deviation.
2025-01-12,03:15 PM,"Finance Officer, Payroll",Human Resources,High,ETF for two HCAs bounced due to EPF number mismatch. Kindly correct HR master data before final payroll run.
2025-01-12,07:10 AM,Biomedical Engineer,Quality Assurance department,Critical,CSSD steam sterilizer load: physical parameters met but 2 trays failed chemical integrator. Instruments quarantined. Request immediate QA-led investigation and load recall review.
2025-01-12,08:10 AM,Ward Sister - Haematology,Dietary and Food Services,High,"Neutropenic diet trays had fresh coriander garnish. Kindly replace with plain, no raw herbs, and brief the cook on neutropenic restrictions."
2025-01-12,08:20 PM,Paediatric Registrar,Transport,Critical,"Neonate on CPAP to be shifted ETU→NICU; require transport incubator, portable O2, and trained porter team."
2025-01-12,08:40 PM,Security Supervisor - Genset Yard,Facility Management,High,Strong diesel smell at generator day tank; small drip visible at bottom flange. Drip tray placed—please rectify leak.
2025-01-12,08:55 AM,Dialysis Unit Nurse,Supply Department,High,Bicarbonate concentrate delivered as A-3 instead of A-2. Quarantined batch; request immediate correct supply and vendor swap note.
2025-01-12,09:15 AM,OPD Nursing Officer,Transport,Medium,Ambulance bay blocked by private cars; transport to marshal drivers and reposition fleet—non-emergency transfer due in 10 minutes.
2025-01-12,09:18 AM,OPD Medical Officer,Reception,Medium,Registration slip carried the wrong age due to NIC DOB entry error; patient was sent to the incorrect fee category. Please correct in HIS and reprint the OPD chit.
2025-01-12,10:42 AM,OPD Nurse,Biomedical Engineering,High,ECG trolley earth pin loose; patient reported tingling on metal rail. Need leakage test and plug top replacement.
2025-01-12,10:50 PM,Staff Nurse (Theatre),Security,Medium,Request after-hours security escort to quarters; stray dogs and loiterers near Back Gate 2 tonight.
2025-01-12,11:15 AM,ETU Nursing Officer,Finance and Account,High,ECG charged twice when patient moved ETU to OPD. Need credit note and LankaQR refund to guardian before discharge.
2025-01-13,01:30 PM,Infection Control Nurse,Housekeeping Department,Critical,COVID isolation Room A vacated; terminal clean needed with high-touch disinfection and curtain change before reuse.
2025-01-13,02:05 PM,"Attendance Clerk, OPD",Human Resources,Medium,Humid afternoon caused fingerprint misreads; many duplicate OUT logs. Please cleanse records and issue guidance on alternate sign-in.
2025-01-13,02:10 PM,Endoscopy Coordinator,Facility Management,Medium,Humid afternoon causing condensation from supply duct near scope cleaning area; floor getting wet. Check insulation and condensate drain.
2025-01-13,02:15 PM,Front Desk Executive,Reception,Medium,Lobby queue display started flickering in the humid afternoon and patients crowded the counter for updates. Need manual token announcements and desk marshals until the screen stabilizes.
2025-01-13,04:05 PM,Pharmacy Counter Staff,Reception,Low,"OPD cards arrived without new clinic numbers and reception stamps, delaying dispensing. Kindly re-stamp and ensure numbers are written at registration."
2025-01-13,04:50 PM,SCBU Nurse,Biomedical Engineering,High,Incubator humidity control overshooting; condensation inside hood noted in today’s humid conditions. Please recalibrate sensor and check seals.
2025-01-13,05:15 PM,Patient Relations Officer,Quality Assurance department,Medium,Complaint: Discharge summary provided only in English; patient requested Sinhala/Tamil as per hospital policy and MoH guidance. QA to review documentation standards and availability of translations.
2025-01-13,05:30 PM,Cafeteria Team Lead,Dietary and Food Services,High,"After the brief evening rain, a drip started over the bakery display; pastry boxes became damp. Need immediate discard of affected items and cordon area."
2025-01-13,06:40 PM,Consultant Radiologist,Human Resources,Medium,Radiographer candidate delayed by evening rain; panel closed. Request HR to reschedule to avoid disadvantage.
2025-01-13,07:05 PM,Theatre Sister,Housekeeping Department,High,Evening batch of OT scrub suits smells musty after brief rain; kindly rewash and fast-track drying of 20 sets for night cases.
2025-01-13,07:05 PM,Radiology MO,Transport,High,MRI at 07:30 PM; ortho patient in traction needs vacuum mattress and three porters for safe transfer from 4C.
2025-01-13,07:20 PM,Obstetrics Registrar,Biomedical Engineering,Medium,Portable ultrasound probe intermittently disconnects after shifting between clinics during evening rain; suspect connector pins. Needs inspection.
2025-01-13,07:20 PM,Matron - Maternity Block,Facility Management,High,"After brief rain, water seeped from roof gutter into Stair C landing; steps slippery. Clear downpipe and repair flashing."
2025-01-13,07:25 PM,Medical Records Officer,Finance and Account,Medium,"Evening rain caused minor seepage; some Dec ICU originals damp, QR on bills unreadable. Please regenerate duplicate tax invoices for audit bundle."
2025-01-13,07:30 PM,Pharmacy Dispenser (OPD),Security,High,Queue dispute escalated during rain; two parties pushing at OPD pharmacy shutter; security needed for crowd control.
2025-01-13,07:42 PM,Data Centre Attendant,IT,Critical,Humidity alarm in the server room after the brief evening rain; backup CRAC did not auto-start and sensors need checking.
2025-01-13,08:05 PM,CSSD Supervisor,Quality Assurance department,High,Evening humidity after brief rain led to wet packs post-ETO cycle aeration; risk of compromised sterility. Need QA to assess environmental controls and revise SOP adherence.
2025-01-13,09:05 AM,Medical Officer - Obstetrics (Postnatal),Dietary and Food Services,Medium,"Mother on vegetarian diet requested no onion/garlic per religious vow, but lunch list shows standard veg curry. Please issue a ‘satvik’ variant from today."
2025-01-13,09:06 AM,Ward Clerk - Paediatric,IT,Medium,Bed transfers done at 08:30 are not visible; ADT feed is delayed and BHT location still shows the old ward.
2025-01-13,09:15 AM,Cardiology Clinic Coordinator,Security,High,"Unattended parcel found under clinic staircase; please activate security protocol, isolate area, and screen with CCTV review."
2025-01-13,11:10 AM,Physiotherapy In-charge,Supply Department,Medium,Gel electrodes losing adhesion; batch feels dry—likely heat exposure. Need fresher stock and check storage conditions.
2025-01-13,11:30 AM,Procurement Officer,Finance and Account,High,Supplier early-payment discount (2%) on sutures invoice lapses tomorrow. AP needs to process today to avail discount.
2025-01-14,06:50 AM,NICU Staff Nurse,IT,High,Barcode scanners at NICU med cabinet fail to read new wristbands; yesterday’s driver push seems incompatible.
2025-01-14,09:00 AM,Safety Officer,Facility Management,Critical,"During fire drill, Isolation Room 3 maglock did not release on alarm; door remained secured. Immediate fix required."
2025-01-14,09:25 AM,"NOIC, ICU",Human Resources,Medium,Five consecutive night duties assigned to same two nurses; staff raised fairness grievance. Need HR-led roster review and mediation.
2025-01-15,01:10 PM,Cafeteria Manager,Dietary and Food Services,High,"Halal certification signage not displayed at the chicken counter and utensils were mixed. Require dedicated ladles, signage, and service staff briefing."
2025-01-15,01:10 PM,Biomedical Technician,Security,High,Man in civilian clothes tried moving an oxygen cylinder from corridor claiming 'urgent use'; security to stop removal and verify authorisation.
2025-01-15,01:35 PM,Consultant Physician,Quality Assurance department,High,Sepsis pathway activation delayed by ~25 minutes in ETU due to confusion over lab order entry and IV access prioritization. Request QA review of code sepsis SOP and drills.
2025-01-15,02:25 PM,Ambulance Driver A05,Transport,Medium,AC not cooling in A05 under strong sun; request spare ambulance for inter-hospital referral to KDU and schedule repair.
2025-01-15,03:45 AM,ICU Senior Nurse,Housekeeping Department,Critical,Blood spill on floor near ICU Bed 3 during line insertion; please attend immediately with biohazard protocol and change mop heads after use.
2025-01-15,04:45 PM,OPD Matron,Supply Department,High,Alcohol hand rub nearly finished in OPD clinics; MSD tender stock still in main store. Please release to OPD before evening clinics.
2025-01-15,06:35 AM,Consultant Anaesthetist,Biomedical Engineering,High,Theatre 3 anaesthesia gas scavenging monitor not zeroing; likely sensor drift with today’s dry air. Calibrate before morning list.
2025-01-15,08:50 AM,Medical Education Unit Coordinator,Human Resources,Medium,Several MOs haven’t submitted CPD credits; SLMC renewal due next month. Please arrange catch-up CME and update records.
2025-01-15,09:00 AM,Consultant Physician,Finance and Account,Medium,eChannelling commission deducted twice on seven 14th Jan bookings; my session settlement is short. Finance to review and rectify before Friday.
2025-01-15,09:00 AM,Oncology Day Unit Pharmacist,Supply Department,High,Chemo carriers warm by midday runs in strong sun; coolant packs insufficient. Request more ice packs and better insulated boxes.
2025-01-15,10:30 AM,Physiotherapy Unit In-Charge,Reception,Medium,Patients reached Physio without prior registration or payment chits after being waved through by entrance volunteers. Request reception to brief volunteers and direct patients via proper intake.
2025-01-15,11:18 AM,Senior Medical Laboratory Technologist (Hematology),Facility Management,High,Noted repeated mains dips; UPS switching frequently. Suspect phase imbalance at Lab MDB—please test and tighten terminations.
2025-01-16,07:55 AM,OPD Receptionist,Facility Management,Medium,OPD entrance auto door shudders and fails to open fully; sensor seems misaligned. Queue forming outside.
2025-01-16,12:18 AM,Hospital Administrator,IT,Critical,Nightly database backup failed two nights; offsite replication lag is 9 hours and needs immediate DR review.
2025-01-17,02:11 PM,Security Supervisor,IT,High,Maternity block NVR is at 98% and not enforcing the 14-day retention after firmware patch; risk of recording halt.
2025-01-17,02:35 PM,MO - Radiology,Supply Department,High,Recall notice for Iohexol 350 (lot F2J...) received. Need Supply to trace and quarantine all units and arrange vendor pickup today.
2025-01-17,05:10 PM,Physiotherapist,Transport,Medium,Two-person assist required to bring hemiplegic patient to rehab gym; current wheelchair footrest broken—please provide replacement and escort.
2025-01-17,05:55 PM,Pharmacy Dispenser,Finance and Account,High,"LankaQR showed success on patient phone (Ref: LQ-17492), but no ledger entry at cashier. Kindly verify with bank and post receipt."
2025-01-17,06:15 PM,Consultant Anaesthetist (On Call),Facility Management,High,Theatre 1 wall suction weak during list; central vacuum reading low. Kindly check vacuum pumps and pipeline leaks.
2025-01-17,07:20 AM,Theatre Attendant Supervisor,Human Resources,Medium,Uniform allowance for six attendants still pending. Kindly release and confirm measurements for new issue.
